change_id,413_patch_lines,402_lines_deleted,408_previous_patches,414_lines_inserted,403_lines_changed,409_previous_buggy_patches,415_lines_removed,404_loc,410_file_age,405_file_lines,411_commit_time,406_time_of_day,412_full_path,401_lines_added,407_day_of_week,500_Buggy?
50619,0,0,38,1,2,5,1,2,327,419,'2005-06-07 18:45:20+00:00',18,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/methodverifier15.java,0,2,0
50631,0,0,263,5,0,51,0,5,1463,2440,'2005-06-08 10:47:05+00:00',10,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/deltaprocessor.java,4,3,0
50647,78,4,264,0,0,51,5,5,1463,2445,'2005-06-08 14:36:27+00:00',14,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/deltaprocessor.java,0,3,0
50653,78,0,28,2,2,3,1,3,1197,192,'2005-06-08 14:36:27+00:00',14,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/classpathjar.java,1,3,0
50662,78,0,19,1,2,4,1,2,1197,60,'2005-06-08 14:36:27+00:00',14,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/classpathlocation.java,0,3,0
50669,0,0,46,1,2,6,1,2,1197,685,'2005-06-08 14:36:27+00:00',14,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/state.java,0,3,0
50692,81,0,300,24,0,85,0,24,342,21092,'2005-06-08 21:11:03+00:00',21,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,23,3,0
50614,0,0,53,5,5,5,1,6,1463,1013,'2005-06-07 16:46:54+00:00',16,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/lookupenvironment.java,0,2,0
50624,95,0,51,49,0,14,0,49,202,3639,'2005-06-07 20:10:50+00:00',20,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/methodverifytest.java,48,2,0
50639,0,0,39,3,3,5,2,5,327,419,'2005-06-07 20:10:50+00:00',20,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/methodverifier15.java,0,2,0
50648,150,0,297,80,0,85,0,80,342,20970,'2005-06-08 15:57:04+00:00',15,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,79,3,0
50663,0,0,43,4,8,3,4,8,342,603,'2005-06-08 15:57:04+00:00',15,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/wildcardbinding.java,0,3,0
