change_id,413_patch_lines,402_lines_deleted,408_previous_patches,414_lines_inserted,403_lines_changed,409_previous_buggy_patches,415_lines_removed,404_loc,410_file_age,405_file_lines,411_commit_time,406_time_of_day,412_full_path,401_lines_added,407_day_of_week,500_Buggy?
52404,0,0,205,2,0,128,0,2,1546,2727,'2005-08-29 20:03:39+00:00',20,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/main.java,2,1,0
52434,120,0,167,19,2,141,2,21,684,8419,'2005-08-30 17:57:38+00:00',17,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/formatterregressiontests.java,17,2,1
52442,120,0,0,5,0,0,0,5,0,5,'2005-08-30 17:57:38+00:00',17,org.eclipse.jdt.core.tests.model/workspace/formatter/test592/a_in.java,4,2,0
52449,120,0,0,21,0,0,0,21,0,21,'2005-08-30 17:57:38+00:00',17,org.eclipse.jdt.core.tests.model/workspace/formatter/test592/a_out.java,20,2,0
52463,0,2,164,3,0,89,3,6,809,5235,'2005-08-30 17:57:38+00:00',17,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/codeformattervisitor.java,2,2,0
52473,0,1,65,0,0,39,1,1,704,3395,'2005-08-31 16:30:37+00:00',16,org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/defaultcodeformatterconstants.java,0,3,0
52485,59,0,26,2,2,20,1,3,145,1468,'2005-09-01 01:01:20+00:00',1,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,1,4,0
52493,0,0,7,13,0,3,0,13,113,113,'2005-09-01 01:01:20+00:00',1,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/util/filesystemutil.java,12,4,0
52503,113,0,10,25,2,2,1,26,427,238,'2005-09-01 12:41:32+00:00',12,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/classfiletests.java,22,4,0
52522,0,0,5,22,0,2,0,22,366,86,'2005-09-01 12:41:32+00:00',12,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/typeparameter.java,20,4,0
52536,0,0,107,34,42,66,23,57,1312,1163,'2005-09-02 11:09:59+00:00',11,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/typebinding.java,3,5,0
52556,61,0,14,7,0,5,0,7,147,101,'2005-09-02 16:45:49+00:00',16,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/aptplugin.java,6,5,0
52564,61,0,6,1,2,1,1,2,147,155,'2005-09-02 16:45:49+00:00',16,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/binaryparameterdeclarationimpl.java,0,5,0
52572,0,1,27,7,2,20,3,10,147,1469,'2005-09-02 16:45:49+00:00',16,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,5,5,1
52589,361,0,345,213,10,103,3,216,431,23577,'2005-09-05 16:37:40+00:00',16,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,204,1,0
52604,361,0,81,16,17,15,4,20,1553,459,'2005-09-05 16:37:40+00:00',16,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/castexpression.java,0,1,1
52611,361,0,40,1,2,3,1,2,1553,110,'2005-09-05 16:37:40+00:00',16,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/instanceofexpression.java,0,1,0
52615,361,0,59,4,2,6,1,5,1553,666,'2005-09-05 16:37:40+00:00',16,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/typebinding.java,2,1,0
52619,0,0,261,6,6,63,1,7,1553,5785,'2005-09-05 16:37:40+00:00',16,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/problemreporter.java,0,1,0
52634,0,0,348,12,0,106,0,12,433,23769,'2005-09-07 12:47:53+00:00',12,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,11,3,0
52656,201,1,21,0,0,18,2,2,105,671,'2005-09-07 16:36:23+00:00',16,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/aptdispatchrunnable.java,0,3,0
52663,201,0,0,66,0,0,0,66,0,70,'2005-09-07 16:36:23+00:00',16,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/env/markerinfo.java,65,3,1
52421,169,1,25,4,2,20,2,6,143,1466,'2005-08-29 22:49:49+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/generatedfile/generatedfilemanager.java,2,1,0
52426,169,0,9,1,2,6,1,2,69,457,'2005-08-29 22:49:49+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/util/factorypathutil.java,0,1,0
52431,169,0,29,19,16,13,5,24,104,597,'2005-08-29 22:49:49+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/aptconfig.java,4,1,1
52438,169,0,4,8,9,1,2,10,46,178,'2005-08-29 22:49:49+00:00',22,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/util/factorypath.java,0,1,0
52446,0,0,12,5,6,9,4,9,73,194,'2005-08-29 22:49:49+00:00',22,org.eclipse.jdt.apt.tests/src/org/eclipse/jdt/apt/tests/preferencestests.java,0,1,0
52477,211,0,43,36,0,3,0,36,426,2203,'2005-08-31 16:20:54+00:00',16,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/resolvetests_1_5.java,35,3,0
52490,211,0,118,39,43,21,20,59,1548,1271,'2005-08-31 16:20:54+00:00',16,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/selectionengine.java,11,3,0
52498,0,1,58,40,0,4,1,41,1548,767,'2005-08-31 16:20:54+00:00',16,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/selectionrequestor.java,39,3,0
52510,0,0,73,3,3,29,1,4,1238,2817,'2005-09-01 13:12:03+00:00',13,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/util.java,0,4,0
52521,0,0,15,19,13,12,12,31,146,133,'2005-09-01 20:18:59+00:00',20,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/aptdispatch.java,12,4,0
52533,239,0,35,61,0,4,0,61,337,1201,'2005-09-02 10:14:31+00:00',10,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/astmodelbridgetests.java,59,5,0
52549,239,1,43,14,12,22,4,18,557,1046,'2005-09-02 10:14:31+00:00',10,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/astparser.java,2,5,0
52558,0,4,106,32,10,66,13,45,1312,1144,'2005-09-02 10:14:31+00:00',10,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/typebinding.java,23,5,0
52570,91,0,344,51,0,102,0,51,431,23526,'2005-09-05 11:26:04+00:00',11,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/generictypetest.java,50,1,0
52579,0,0,58,6,5,6,3,9,1552,663,'2005-09-05 11:26:04+00:00',11,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/typebinding.java,2,1,0
52599,0,0,2,5,0,1,0,5,7,203,'2005-09-06 19:13:45+00:00',19,org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/executableutil.java,4,2,0
52622,1401,1,111,2,2,46,2,4,736,5649,'2005-09-07 07:46:09+00:00',7,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/annotationtest.java,1,3,0
52628,1401,1,38,1,2,9,2,3,1554,322,'2005-09-07 07:46:09+00:00',7,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/clinit.java,0,3,0
52636,1401,1,49,3,4,13,4,7,1554,220,'2005-09-07 07:46:09+00:00',7,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/methoddeclaration.java,0,3,0
52642,1401,1,106,51,68,26,41,92,1554,1319,'2005-09-07 07:46:09+00:00',7,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/typedeclaration.java,6,3,0
52649,1401,15,64,0,0,13,16,16,1554,1066,'2005-09-07 07:46:09+00:00',7,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/classfmt/classfilereader.java,0,3,0
52488,146,0,169,39,4,143,2,41,685,8468,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/formatterregressiontests.java,36,3,0
52496,146,0,0,3,0,0,0,3,0,3,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test597/a_in.java,2,3,0
52502,146,0,0,5,0,0,0,5,0,6,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test597/a_out.java,4,3,0
52506,146,0,0,3,0,0,0,3,0,3,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test598/a_in.java,2,3,0
52512,146,0,0,5,0,0,0,5,0,6,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test598/a_out.java,4,3,0
52516,146,0,0,3,0,0,0,3,0,3,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test599/a_in.java,2,3,0
52520,146,0,0,6,0,0,0,6,0,6,'2005-08-31 16:31:06+00:00',16,org.eclipse.jdt.core.tests.model/workspace/formatter/test599/a_out.java,5,3,0
52545,0,1,238,20,10,25,12,32,1549,3490,'2005-09-02 12:16:55+00:00',12,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/scope.java,15,5,0
52554,0,0,28,7,7,4,1,8,1549,132,'2005-09-02 13:22:58+00:00',13,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/basiccompilationunit.java,0,5,0
